Product Name,Category,Price,Original Price,Product Link,Image URLs,Sizes,Review||Reviewers
Nike Jr. Mercurial Superfly 9 Club KM FG/MG,Younger/Older Kids' Multi-Ground Football Boot,Rp799000,-,https://www.nike.com/id/t/jr-mercurial-superfly-9-club-km-fg-mg-younger-older-multi-ground-football-boot-9zQ35G/DO9789-400,,,Review data not available
Nike Air Max 90 LTR,Older Kids' Shoes,Rp1329000,-,https://www.nike.com/id/t/air-max-90-ltr-older-shoes-M0TsXt/DV3607-400,,,Review data not available
Jordan 1 Retro High OG,Baby/Toddler Shoes,Rp959000,-,https://www.nike.com/id/t/jordan-1-retro-high-og-shoes-P8C56q/FD1413-031,,,Review data not available
Jordan 1 Low Alt,Younger Kids' Shoes,Rp909000,-,https://www.nike.com/id/t/jordan-1-low-alt-younger-shoes-W8Wbv0/DR9748-515,,,Review data not available
Jordan 1 Low Alt,Baby/Toddler Shoes,Rp729000,-,https://www.nike.com/id/t/jordan-1-low-alt-shoes-jNQKZv/DR9747-515,,,Review data not available
Air Jordan 1 Low SE,Older Kids' Shoes,Rp1499000,-,https://www.nike.com/id/t/air-jordan-1-low-se-older-shoes-NDwhDt/DZ6333-083,,,Review data not available
Freak 5,Older Kids' Basketball Shoes,Rp1349000,-,https://www.nike.com/id/t/freak-5-older-basketball-shoes-r2FjbC/DZ4486-600,,,Review data not available
Air Jordan 1 High OG,Older Kids' Shoes,Rp1859000,-,https://www.nike.com/id/launch/r/FD1437-020,,,Review data not available
Nike Team Hustle D 11,Older Kids' Basketball Shoes,Rp899000,-,https://www.nike.com/id/t/team-hustle-d-11-older-basketball-shoes-TBQxXL/DV8996-102,,,Review data not available
Jordan 1,Baby Cot Bootie,Rp649000,-,https://www.nike.com/id/t/jordan-1-cot-bootie-6blXxr/AT3745-400,,,Review data not available
Nike Dynamo Go,Younger Kids' Easy On/Off Shoes,Rp618000,Rp729000,https://www.nike.com/id/t/dynamo-go-younger-easy-on-off-shoes-dCf2Zv/DH3437-004,,,Review data not available
Air Jordan 1 Mid,Older Kids' Shoes,Rp1228000,Rp1449000,https://www.nike.com/id/t/air-jordan-1-mid-older-shoes-wqHdzW/DQ8423-400,,,Review data not available
Giannis Immortality 2,Younger Kids' Shoes,Rp678000,Rp799000,https://www.nike.com/id/t/giannis-immortality-2-younger-shoes-TwwrTl/DQ1942-003,,,Review data not available
Nike Air Force 1 LV8,Older Kids' Shoes,Rp1329000,-,https://www.nike.com/id/t/air-force-1-lv8-older-shoes-BWHxJx/FJ7691-191,,,Review data not available
Nike Air Force 1 LV8,Older Kids' Shoes,Rp1128000,Rp1329000,https://www.nike.com/id/t/air-force-1-lv8-older-shoes-F8vC7J/FJ7706-131,,,Review data not available
Nike Revolution 6,Baby/Toddler Shoes,Rp579000,-,https://www.nike.com/id/t/revolution-6-shoes-517kFQ/DD1094-003,,,Review data not available
Nike Air Force 1,Older Kids' Shoes,Rp1349000,-,https://www.nike.com/id/t/air-force-1-older-shoes-xvFTLg/FN8008-001,,,Review data not available
Nike Flex Plus 2,Older Kids' Running Shoes,Rp899000,-,https://www.nike.com/id/t/flex-plus-2-older-running-shoes-PbFFJC/DV8999-003,,,Review data not available
Nike Air Max 90 LTR SE,Younger Kids' Shoes,Rp1229000,-,https://www.nike.com/id/t/air-max-90-ltr-se-younger-shoes-KTNpbR/DZ2889-100,,,Review data not available
Air Jordan 1 Low SE,Older Kids' Shoes,Rp1268000,Rp1499000,https://www.nike.com/id/t/air-jordan-1-low-se-older-shoes-9gnTPd/DX4374-008,,,Review data not available
Jordan 3 Retro,Younger Kids' Shoes,Rp1018000,Rp1199000,https://www.nike.com/id/t/jordan-3-retro-younger-shoes-w66D0b/DM0966-100,,,Review data not available
Nike Dunk Low,Younger Kids' Shoes,Rp758000,Rp899000,https://www.nike.com/id/t/dunk-low-younger-shoes-w1Lgh2/DH9756-102,,,Review data not available
Nike Dynamo GO SE,Baby/Toddler Easy On/Off Shoes,Rp608000,Rp719000,https://www.nike.com/id/t/dynamo-go-se-easy-on-off-shoes-1nMtdW/DX6673-800,,,Review data not available
Nike Cortez Basic SL,Younger Kids' Shoes,Rp729000,-,https://www.nike.com/id/t/cortez-basic-sl-younger-shoes-5hqMdP/904767-102,,,Review data not available
Nike Air Zoom Pegasus 40,Older Kids' Road Running Shoes,Rp1399000,-,https://www.nike.com/id/t/air-zoom-pegasus-40-older-road-running-shoes-S0gQ5F/DX2498-001,,,Review data not available
Nike Air Force 1,Older Kids' Shoes,Rp1038000,Rp1219000,https://www.nike.com/id/t/air-force-1-older-shoes-1GxH0J/DV7762-100,,,Review data not available
Nike Air Force 1 Next Nature,Older Kids' Shoes,Rp1329000,-,https://www.nike.com/id/t/air-force-1-next-nature-older-shoes-rB4R2C/FJ4669-100,,,Review data not available
Jordan 1 Low Alt SE,Baby/Toddler Shoes,Rp558000,Rp799000,https://www.nike.com/id/t/jordan-1-low-alt-se-shoes-sSxw84/DX6668-701,,,Review data not available
Nike Revolution 6,Younger Kids' Shoes,Rp799000,-,https://www.nike.com/id/t/revolution-6-younger-shoes-qCvkDr/FB2718-001,,,Review data not available
Nike Star Runner 4,Older Kids' Road Running Shoes,Rp799000,-,https://www.nike.com/id/t/star-runner-4-older-road-running-shoes-JsFCts/DX7615-100,,,Review data not available
Nike Force 1,Younger Kids' Shoes,Rp818000,Rp959000,https://www.nike.com/id/t/force-1-younger-shoes-h6p0zj/CZ1685-104,,,Review data not available
Luka 2,Older Kids' Shoes,Rp1349000,-,https://www.nike.com/id/t/luka-2-older-shoes-bHMwcm/DZ3498-001,,,Review data not available
Nike Force 1 Low,Younger Kids' Shoes,Rp959000,-,https://www.nike.com/id/t/force-1-low-younger-shoes-xzp19z/FJ3484-103,,,Review data not available
Air Jordan 1 Low SE,Older Kids' Shoes,Rp898000,Rp1499000,https://www.nike.com/id/t/air-jordan-1-low-se-older-shoes-xHjmvK/DX6666-701,,,Review data not available
Nike Air Force 1 LV8,Older Kids' Shoes,Rp1449000,-,https://www.nike.com/id/t/air-force-1-lv8-older-shoes-X4s4LQ/FN7239-410,,,Review data not available
Nike Dunk Low,Younger Kids' Shoes,Rp999000,-,https://www.nike.com/id/t/dunk-low-younger-shoes-lH7vsM/FN6969-025,,,Review data not available
Nike MD Valiant,Baby and Toddler Shoe,Rp579000,-,https://www.nike.com/id/t/md-valiant-and-shoe-PCQzCz/CN8560-016,,,Review data not available
Jordan 23/7 SE,Baby/Toddler Shoes,Rp729000,-,https://www.nike.com/id/t/jordan-23-7-se-shoes-3XMgt9/DZ6331-700,,,Review data not available
Jordan 1 Low Alt,Younger Kids' Shoes,Rp909000,-,https://www.nike.com/id/t/jordan-1-low-alt-younger-shoes-9ThpvV/DZ6958-160,,,Review data not available
Nike Court Borough Low 2,Baby/Toddler Shoes,Rp469000,-,https://www.nike.com/id/t/court-borough-low-2-shoes-HL7d8l/BQ5453-100,,,Review data not available
Nike Team Hustle D 11,Older Kids' Basketball Shoes,Rp758000,Rp899000,https://www.nike.com/id/t/team-hustle-d-11-older-basketball-shoes-q4t8cZ/FJ7688-101,,,Review data not available
Jordan 23/7,Younger Kids' Shoes,Rp909000,-,https://www.nike.com/id/t/jordan-23-7-younger-shoes-dL4R9z/DZ6330-700,,,Review data not available
Nike Blazer Mid '77,Older Kids' Shoes,Rp1018000,Rp1199000,https://www.nike.com/id/t/blazer-mid-77-older-shoes-vJzqK8/FJ4644-100,,,Review data not available
Air Jordan 1 Low FlyEase,Older Kids' Shoes,Rp1599000,-,https://www.nike.com/id/t/air-jordan-1-low-flyease-older-shoes-Pr8pJH/DN4639-515,,,Review data not available
Nike Flex Runner 2,Older Kids' Road Running Shoes,Rp649000,-,https://www.nike.com/id/t/flex-runner-2-older-road-running-shoes-RJPdh4/DJ6038-002,,,Review data not available
Nike Air Max 97,Older Kids' Shoes,Rp1999000,-,https://www.nike.com/id/t/air-max-97-older-shoes-8bKSwF/918890-700,,,Review data not available
Air Jordan 1 Low SE,Older Kids' Shoes,Rp1499000,-,https://www.nike.com/id/t/air-jordan-1-low-se-older-shoes-ZG4sxS/FN7671-008,,,Review data not available
Nike Kawa SE2,Older/Younger Kids' Slide,Rp298000,Rp349000,https://www.nike.com/id/t/kawa-se2-older-younger-slide-74sfwZ/CW1656-600,,,Review data not available
Jordan 1 Retro High OG,Baby/Toddler Shoes,Rp818000,Rp959000,https://www.nike.com/id/t/jordan-1-retro-high-og-shoes-9D3sns/FD2598-700,,,Review data not available
Jordan 4 Retro,Younger Kids' Shoes,Rp1199000,-,https://www.nike.com/id/t/jordan-4-retro-younger-shoes-SjlnCk/BQ7669-017,,,Review data not available
Nike Flex Runner 2,Baby/Toddler Shoes,Rp499000,-,https://www.nike.com/id/t/flex-runner-2-shoes-hdRCsb/DJ6039-002,,,Review data not available
Nike Air Max 90 LTR SE,Older Kids' Shoes,Rp1499000,-,https://www.nike.com/id/t/air-max-90-ltr-se-older-shoes-PSfn6G/DZ2888-100,,,Review data not available
Air Jordan 3 Retro,Older Kids' Shoes,Rp1868000,Rp2199000,https://www.nike.com/id/t/air-jordan-3-retro-older-shoes-ggSDPD/DM0967-100,,,Review data not available
Jordan 1 Retro High OG,Younger Kids' Shoes,Rp1129000,-,https://www.nike.com/id/t/jordan-1-retro-high-og-younger-shoes-KnJFC8/FD1412-031,,,Review data not available
Nike Omni Multi-Court,Younger Kids' Shoes,Rp729000,-,https://www.nike.com/id/t/omni-multi-court-younger-shoes-dk59FX/DM9026-002,,,Review data not available
Air Jordan XXXVIII,Older Kids' Shoes,Rp2109000,-,https://www.nike.com/id/t/air-jordan-xxxviii-older-shoes-69P5Hc/DZ3499-106,,,Review data not available
Nike Star Runner 4,Younger Kids' Shoes,Rp729000,-,https://www.nike.com/id/t/star-runner-4-younger-shoes-h6SBLl/DX7614-001,,,Review data not available
Nike Court Borough Low Recraft,Younger Kids' Shoes,Rp669000,-,https://www.nike.com/id/t/court-borough-low-recraft-younger-shoes-DPsXd0/DV5457-600,,,Review data not available
Nike Air Force 1 LE,Older Kids' Shoe,Rp1219000,-,https://www.nike.com/id/t/air-force-1-le-older-shoe-TDGHCN/DH2920-111,,,Review data not available
Nike Force 1 LE,Baby and Toddler Shoe,Rp729000,-,https://www.nike.com/id/t/force-1-le-and-shoe-hZ24qR/DH2926-111,,,Review data not available
Nike Dunk Low,Older Kids' Shoes,Rp1349000,-,https://www.nike.com/id/t/dunk-low-older-shoes-gtp5w7/FN7784-001,,,Review data not available
Nike Air Max 1 EasyOn,Younger Kids' Shoes,Rp1169000,-,https://www.nike.com/id/t/air-max-1-easyon-younger-shoes-Hgp7Pt/DZ3308-003,,,Review data not available
Nike Air Force 1 LV8,Older Kids' Shoes,Rp1449000,-,https://www.nike.com/id/t/air-force-1-lv8-older-shoes-DWZsWn/FN7818-100,,,Review data not available
Air Max 1 EasyOn,Baby/Toddler Shoes,Rp959000,-,https://www.nike.com/id/t/air-max-1-easyon-shoes-K6x2mJ/DZ3309-003,,,Review data not available
Jordan 1 Low Alt SE,Younger Kids' Shoes,Rp999000,-,https://www.nike.com/id/t/jordan-1-low-alt-se-younger-shoes-6ksx5c/FB2218-200,,,Review data not available
Ja 1,Older Kids' Basketball Shoes,Rp1199000,-,https://www.nike.com/id/t/ja-1-older-basketball-shoes-NK2BHR/DX2294-400,,,Review data not available
Nike Flex Plus 2,Younger Kids' Shoes,Rp799000,-,https://www.nike.com/id/t/flex-plus-2-younger-shoes-JrXgvn/DV9000-003,,,Review data not available
Nike Pico 5,Baby & Toddler Shoes,Rp469000,-,https://www.nike.com/id/t/pico-5-shoes-QQ5g1N/AR4162-106,,,Review data not available
Jordan Stay Loyal 2,Older Kids' Shoes,Rp1219000,-,https://www.nike.com/id/t/jordan-stay-loyal-2-older-shoes-6Z27xv/DQ8398-103,,,Review data not available
Jordan 1 Low Alt SE,Baby/Toddler Shoes,Rp799000,-,https://www.nike.com/id/t/jordan-1-low-alt-se-shoes-dlVQRL/FB2217-200,,,Review data not available
Air Jordan 1 Low SE,Older Kids' Shoes,Rp1499000,-,https://www.nike.com/id/t/air-jordan-1-low-se-older-shoes-HPgPbg/FB2216-200,,,Review data not available
Jordan 3 Retro,Baby/Toddler Shoes,Rp818000,Rp959000,https://www.nike.com/id/t/jordan-3-retro-shoes-61GbNx/DM0968-100,,,Review data not available
